CARID,Name,Predicted Spill Frequency / Year,Predicted Spill Volume / Year (m3),Storm Overflow Classification,Receiving Waterbody ID,Receiving Waterbody Name,X,Y,XY Coordinates,Coordinate Description,Monitored,2023 Spill Count,2023 Spill Duration (hrs),2024 Spill count,2024 Spill duration (hrs),2024 Percent Availability,Commentary
SP002022911,Ballycastle IPS,,,To be Determined,UKGBNI1NE040403033,Tow River,312158,440886,312158 440886,Discharge Point Coordinates,,,,,,,
SP002022911,Ballycastle IPS,,,To be Determined,UKGBNI1NE040403033,Tow River,312183,440889,312183 440889,Discharge Point Coordinates,,,,,,,
SP002984327,Belfast Tunnel TPS,12,599134,Satisfactory,GBNI8NE023,Lagan,335250,376774,335250 376774,Discharge Point Coordinates,,,,,,,
SP002021944,Pennyburn WwPS,141,317193,Unsatisfactory,UKGBNI5NW250030,Upper Foyle,244419,418612,244419 418612,Discharge Point Coordinates,,,,,,,
CO000984320,Gilnahirk Road CSO,75,73358,Unsatisfactory,UKGBNI1NE050503087,Connswater,338780,373353,338780 373353,Discharge Point Coordinates,,,,,,,
SP002022818,Blackcave WwPS,34,60178,Unsatisfactory,GBNI8NE058,Glens and Rathlin,339798,405358,339798 405358,Discharge Point Coordinates,,,,,,,
SP003182863,Victoria Market Car Park WwPS,74,59916,Unsatisfactory,GBNI8NW020,Burn Dennet and Foyle,243621,417038,243621 417038,Discharge Point Coordinates,,,,,,,
SP002021740,Markethill FEPS,119,49286,Unsatisfactory,UKGBNI1NB030308119,Markethill River,299648,340463,299648 340463,Discharge Point Coordinates,,,,,,,
SP002022229,Warren Road One WwPS,95,35875,Unsatisfactory,GBNI8NE026,Belfast Lough,357866,381435,357866 381435,Discharge Point Coordinates,,,,,,,
CO000984667,Blackarch East CSO,16,3820,Unsatisfactory,GBNI8NE058,Glens and Rathlin,339798,405358,339798 405358,Discharge Point Coordinates,,,,,,,
CO000984423,Bath Street CSO,54,2823,Unsatisfactory,UKGBNI6NE190,Dundrum Bay Outer,356878,337543,356878 337543,Discharge Point Coordinates,,,,,,,
CO000984676,Park Street CSO,21,597,Unsatisfactory,UKGBNI1NB030305204,Six Mile Water (Ballyclare),329027,391145,329027 391145,Discharge Point Coordinates,,,,,,,
CO000984146,Roemill Road CSO,3,305,Unsatisfactory,UKGBNI1NW020202018,River Roe (Limavady),266819,422904,266819 422904,Discharge Point Coordinates,,,,,,,
CO000984668,Blackcave CSO,1,23,Unsatisfactory,GBNI8NE058,Glens and Rathlin,339798,405358,339798 405358,Discharge Point Coordinates,,,,,,,
SP002022939,Waterside WwPS,0,0,Unsatisfactory,GBNI8NB014,Lower Bann,284506,432602,284506 432602,Discharge Point Coordinates,,,,,,,
SP002022320,Landsdowne Road 1 WwPS,0,0,Satisfactory,GBNI8NE034,Strangford,348764,372078,348764 372078,Discharge Point Coordinates,,,,,,,
CO004310740,Castle Lane Waterside Coleraine CSO,0,0,Satisfactory,GBNI8NB014,Lower Bann,284511,432521,284511 432521,Discharge Point Coordinates,,,,,,,
SP002022728,Forthglen WwPS,0,0,Unsatisfactory,UKGBNI1NB030308230,Ballinderry River (Cookstown),279829,378282,279829 378282,Discharge Point Coordinates,,,,,,,
CO000984484,Edenderry Mill CSO,0,0,Satisfactory,UKGBNI1NE050505126,Blackstaff (Belfast) River,332173,375413,332173 375413,Discharge Point Coordinates,,,,,,,
CO000984633,Marine Parade CSO,,,To be Determined,Undefined,Undefined,347703,391956,347703 391956,Discharge Point Coordinates,,,,,,,
SP002021890,Donnybrewer IPS,,,To be Determined,UKGBNI5NW250040,Foyle Harbour and Faughan,251322,421581,251322 421581,Discharge Point Coordinates,,,,,,,
SP002022657,Fairyhill WwPS,,,To be Determined,UKGBNI1NB030302158,River Main (Cullybackey),307971,403066,307971 403066,Discharge Point Coordinates,,,,,,,
SP002022962,Clarehill FEPS,,,To be Determined,UKGBNI1NB030301213,Aghadowey River,287569,421971,287569 421971,Discharge Point Coordinates,,,,,,,
SP002022649,Fourtowns Manor WwPS,,,To be Determined,UKGBNI1NB030302159,Ahoghill Burn,305165,401783,305165 401783,Discharge Point Coordinates,,,,,,,
CO000984774,Straham View Dervock CSO,,,To be Determined,UKGBNI1NE040404004,Dervock River (Dervock),297627,431475,297627 431475,Discharge Point Coordinates,,,,,,,
SP002022440,Loughbrickland WwPS,,,To be Determined,UKGBNI1NB060601025,Loughbrickland Stream,310133,342066,310133 342066,Discharge Point Coordinates,,,,,,,
SP002022911,Ballycastle IPS,,,To be Determined,UKGBNI1NE040403033,Tow River,312186,440887,312186 440887,Discharge Point Coordinates,,,,,,,
SP004331322,Brookeborough FEPS,,,To be Determined,UKGBNI1NW363602018,Colebrooke River (Maguiresbridge),236861,340422,236861 340422,Discharge Point Coordinates,,,,,,,
SP002021853,Drumnakilly FEPS,,,To be Determined,UKGBNI1NW010108257,Camowen River (Omagh),252813,372774,252813 372774,Discharge Point Coordinates,,,,,,,
SP002021895,Cregg WwPS,,,To be Determined,UKGBNI1NW020208259,Faughan River (Carnmoney),253320,407742,253320 407742,Discharge Point Coordinates,,,,,,,
SP002021879,Gortinreid Bridge WwPS,,,To be Determined,UKGBNI1NW020204033,River Faughan (Park),258818,402350,258818 402350,Discharge Point Coordinates,,,,,,,
SP002022068,Mantlin Road Two WwPS,,,To be Determined,UKGBNI1NW363601053,Mantlin River,218365,363532,218365 363532,Discharge Point Coordinates,,,,,,,
CO004357318,Belfast FFT CSO,36,1593239,Satisfactory,Undefined,Undefined,335007,377003,335007 377003,Coordinates of Asset (Discharge Point Unavailable),,,,,,,
CO004557998,Kinnegar FFT CSO,80,1182426,Unsatisfactory,Undefined,Undefined,338657,378277,338657 378277,Coordinates of Asset (Discharge Point Unavailable),,,,,,,
SP002022339,Sydenham Park Avenue TPS,71,691956,Unsatisfactory,UKGBNI6NE180,Belfast Harbour,336540,374853,336540 374853,Discharge Point Coordinates,,,,,,,
SP002022943,Riversdale WwPS,82,633615,Unsatisfactory,UKGBNI5NB010010,Bann Estuary,284733,433007,284733 433007,Discharge Point Coordinates,,,,,,,
SP002984327,Belfast Tunnel TPS,12,599134,Satisfactory,GBNI8NE023,Lagan,335248,376773,335248 376773,Discharge Point Coordinates,,,,,,,
CO004430866,Armagh Drumcarn FFT CSO,84,413838,Satisfactory,UKGBNI1NB030308225,Callan River (Derryscollop),287490,347184,287490 347184,Discharge Point Coordinates,,,,,,,
CO002853056,Upper Falls Boucher CSO,136,330315,Unsatisfactory,UKGBNI1NE050505126,Blackstaff (Belfast) River,331475,371491,331475 371491,Discharge Point Coordinates,,,,,,,
CO000984507,Riverdale Park South CSO,91,318650,Unsatisfactory,UKGBNI1NE050505126,Blackstaff (Belfast) River,330350,371050,330350 371050,Discharge Point Coordinates,,,,,,,
SP002021944,Pennyburn WwPS,141,317193,Unsatisfactory,UKGBNI5NW250030,Upper Foyle,244421,418614,244421 418614,Discharge Point Coordinates,,,,,,,
SP002023022,Ballycairn Coleraine North Coast TPS,176,306763,Unsatisfactory,GBNI8NB014,Lower Bann,284566,433538,284566 433538,Discharge Point Coordinates,,,,,,,
CO002849756,Fane Street CSO,124,298824,Unsatisfactory,Undefined,Undefined,332527,372767,332527 372767,Coordinates of Asset (Discharge Point Unavailable),,,,,,,
CO004357006,Seahill FFT CSO,99,279313,Unsatisfactory,Undefined,Undefined,344171,382341,344171 382341,Coordinates of Asset (Discharge Point Unavailable),,,,,,,
CO002815843,Ballyclare FFT CSO,87,276383,Satisfactory,UKGBNI1NB030305204,Six Mile Water (Ballyclare),328218,390146,328218 390146,Discharge Point Coordinates,,,,,,,
CO000984500,Falls Road Rockmount CSO,101,258903,Unsatisfactory,UKGBNI1NE050505126,Blackstaff (Belfast) River,331401,373246,331401 373246,Discharge Point Coordinates,,,,,,,
CO004357218,Enniskillen FFT CSO,83,230566,Satisfactory,Undefined,Undefined,221776,345544,221776 345544,Coordinates of Asset (Discharge Point Unavailable),,,,,,,
CO000984630,Town CSO,140,218563,Unsatisfactory,UKGBNI1NE050505125,Ballynahinch River,336894,352237,336894 352237,Discharge Point Coordinates,,,,,,,
CO000984377,Fortwilliam Park Dunlambert CSO,101,214916,Unsatisfactory,GBNI8NE023,Lagan,334048,377738,334048 377738,Discharge Point Coordinates,,,,,,,
SP003082779,Duke Street 2 WwPS,143,202323,Unsatisfactory,GBNI8NW022,Burn Dennet and Foyle,243842,416063,243842 416063,Discharge Point Coordinates,,,,,,,
SP002022372,Newpoint Greenbank TPS,45,189202,Unsatisfactory,GBNI8NB050,Carlingford and Newry,308740,325476,308740 325476,Discharge Point Coordinates,,,,,,,
CO004357115,Annsborough FFT CSO,165,186313,Unsatisfactory,Undefined,Undefined,335509,336731,335509 336731,Coordinates of Asset (Discharge Point Unavailable),,,,,,,
CO004356788,Maghera Londonderry FA CSO,194,185336,Satisfactory,Undefined,Undefined,285479,399796,285479 399796,Coordinates of Asset (Discharge Point Unavailable),,,,,,,
CO000984459,Moonstone Street CSO,108,169732,Unsatisfactory,UKGBNI1NE050505126,Blackstaff (Belfast) River,332014,371458,332014 371458,Discharge Point Coordinates,,,,,,,
CO000984460,Lisburn Road Cranmore CSO,108,169573,Unsatisfactory,UKGBNI1NE050505126,Blackstaff (Belfast) River,332014,371458,332014 371458,Discharge Point Coordinates,,,,,,,
CO003301249,Clarendon Terrace CSO,153,167315,Unsatisfactory,GBNI8NW020,Burn Dennet and Foyle,243529,417256,243529 417256,Discharge Point Coordinates,,,,,,,
SP003067664,Huguenot Drive 2 WwPS,85,156911,Unsatisfactory,UKGBNI1NE050503108,River Lagan (Stranmillis),328008,364705,328008 364705,Discharge Point Coordinates,,,,,,,
CO000984514,Springfield Road Workman CSO,76,143390,Unsatisfactory,UKGBNI1NE050505126,Blackstaff (Belfast) River,331387,374539,331387 374539,Discharge Point Coordinates,,,,,,,
CO000984373,Shore Road Fortwilliam CSO,132,140676,Unsatisfactory,GBNI8NE023,Lagan,334316,377581,334316 377581,Discharge Point Coordinates,,,,,,,
CO004357108,Strabane FFT CSO,63,121988,Unsatisfactory,Undefined,Undefined,234222,399039,234222 399039,Coordinates of Asset (Discharge Point Unavailable),,,,,,,
SP002022881,Derrynoyd WwPS,185,119668,Unsatisfactory,UKGBNI1NB030308205,Moyola River (Straw),276902,395412,276902 395412,Discharge Point Coordinates,,,,,,,
CO000984467,Balmoral Avenue CSO,81,117837,Unsatisfactory,Undefined,Undefined,331561,370831,331561 370831,Coordinates of Asset (Discharge Point Unavailable),,,,,,,
CO004356982,Whitehouse FFT CSO,64,114106,Unsatisfactory,Undefined,Undefined,334587,379991,334587 379991,Coordinates of Asset (Discharge Point Unavailable),,,,,,,
CO000984722,Pound Road CSO,165,107694,Unsatisfactory,Undefined,Undefined,290735,391078,290735 391078,Coordinates of Asset (Discharge Point Unavailable),,,,,,,
CO004356740,Whitehouse FA CSO,3,104106,Unsatisfactory,Undefined,Undefined,334586,379990,334586 379990,Coordinates of Asset (Discharge Point Unavailable),,,,,,,
SP002022687,Spencestown TPS,124,102675,Unsatisfactory,UKGBNI1NB030302018,Braid River (Ballymena),310160,402200,310160 402200,Discharge Point Coordinates,,,,,,,
CO004395298,Ballyclare FA CSO,54,102315,Unsatisfactory,Undefined,Undefined,328287,390089,328287 390089,Coordinates of Asset (Discharge Point Unavailable),,,,,,,
CO004177390,Rooney Park Kilkeel CSO,221,101804,Unsatisfactory,GBNI8NE045,South Down,331111,314354,331111 314354,Discharge Point Coordinates,,,,,,,
CO004357003,Ballynahinch FFT CSO,90,101466,Satisfactory,Undefined,Undefined,337473,351822,337473 351822,Coordinates of Asset (Discharge Point Unavailable),,,,,,,
SP002021819,Coolhill North WwPS,65,90258,Unsatisfactory,UKGBNI1NB030307036,River Rhone (Dungannon),281603,361691,281603 361691,Discharge Point Coordinates,,,,,,,
SP002022349,Greencastle Belfast WwPS,39,84278,Unsatisfactory,GBNI8NE023,Lagan,334247,378377,334247 378377,Discharge Point Coordinates,,,,,,,
CO003309010,Seahill Road Holywood CSO,126,79510,Unsatisfactory,GBNI8NE024,Belfast Lough,344329,381780,344329 381780,Discharge Point Coordinates,,,,,,,
CO000984379,North Queen Street Cultra CSO,41,75710,Unsatisfactory,GBNI8NE023,Lagan,334421,375916,334421 375916,Discharge Point Coordinates,,,,,,,
CO004357077,Maghera Londonderry FFT CSO,118,74736,Satisfactory,Undefined,Undefined,285480,399797,285480 399797,Coordinates of Asset (Discharge Point Unavailable),,,,,,,
CO004357309,Larne FFT CSO,29,73791,Unsatisfactory,Undefined,Undefined,340620,402213,340620 402213,Coordinates of Asset (Discharge Point Unavailable),,,,,,,
CO000984320,Gilnahirk Road CSO,75,73358,Unsatisfactory,UKGBNI1NE050503087,Connswater,338780,373355,338780 373355,Discharge Point Coordinates,,,,,,,
CO000984325,Sanddown Road Kingsleigh CSO,117,73311,Unsatisfactory,Undefined,Undefined,338234,373486,338234 373486,Coordinates of Asset (Discharge Point Unavailable),,,,,,,
CO000984210,Sharman CSO,102,73073,Unsatisfactory,GBNI8NE023,Lagan,333837,371560,333837 371560,Discharge Point Coordinates,,,,,,,
CO004356999,Newtownbreda FFT CSO,87,71775,Satisfactory,Undefined,Undefined,334024,370202,334024 370202,Coordinates of Asset (Discharge Point Unavailable),,,,,,,
CO000984346,Abetta Parade CSO,47,71558,Unsatisfactory,UKGBNI1NE050503087,Connswater,336425,373513,336425 373513,Discharge Point Coordinates,,,,,,,
CO000984293,Victoria Road CSO,153,70506,Unsatisfactory,GBNI8NE024,Belfast Lough,340791,379154,340791 379154,Discharge Point Coordinates,,,,,,,
CO000984576,CAI Playing Fields CSO,165,63755,Unsatisfactory,GBNI8NB014,Lower Bann,284468,433419,284468 433419,Discharge Point Coordinates,,,,,,,
CO000984468,Balmoral Court CSO,49,62104,Unsatisfactory,UKGBNI1NE050505126,Blackstaff (Belfast) River,331314,370718,331314 370718,Discharge Point Coordinates,,,,,,,
CO003000718,Carnlea Clinic CSO,68,61013,Unsatisfactory,GBNI8NE025,Belfast Lough,348736,381607,348736 381607,Discharge Point Coordinates,,,,,,,
SP002022818,Blackcave WwPS,34,60178,Unsatisfactory,GBNI8NE058,Glens and Rathlin,339804,405358,339804 405358,Discharge Point Coordinates,,,,,,,
CO000984523,Lambeg Road CSO,150,60031,Unsatisfactory,UKGBNI1NE050503108,River Lagan (Stranmillis),328122,366413,328122 366413,Discharge Point Coordinates,,,,,,,
SP003182863,Victoria Market Car Park WwPS,74,59916,Unsatisfactory,GBNI8NW020,Burn Dennet and Foyle,243621,417038,243621 417038,Discharge Point Coordinates,,,,,,,
SP002021941,Queens Quay WwPS,75,59377,Unsatisfactory,GBNI8NW020,Burn Dennet and Foyle,243515,417654,243515 417654,Discharge Point Coordinates,,,,,,,
CO000984501,Falls Road Beechview CSO,78,57412,Unsatisfactory,Undefined,Undefined,331388,373241,331388 373241,Coordinates of Asset (Discharge Point Unavailable),,,,,,,
CO000984214,Fane Street Primary School CSO,55,56706,Unsatisfactory,Undefined,Undefined,332525,372745,332525 372745,Coordinates of Asset (Discharge Point Unavailable),,,,,,,
SP002022359,Mayobridge WwPS,304,54676,Unsatisfactory,UKGBNI1NB060601018,Mayobridge River,315359,327442,315359 327442,Discharge Point Coordinates,,,,,,,
CO004557990,Kinnegar FA CSO,82,53461,Unsatisfactory,Undefined,Undefined,338657,378270,338657 378270,Coordinates of Asset (Discharge Point Unavailable),,,,,,,
CO000984461,Lisburn Road Lislea CSO,55,52993,Unsatisfactory,UKGBNI1NE050505126,Blackstaff (Belfast) River,331681,371074,331681 371074,Discharge Point Coordinates,,,,,,,
CO000984366,Belvoir Park CSO,88,52890,Satisfactory,UKGBNI1NE050503108,River Lagan (Stranmillis),333941,369934,333941 369934,Discharge Point Coordinates,,,,,,,
CO000984282,Carnalea Golf Club CSO,89,51052,Unsatisfactory,GBNI8NE025,Belfast Lough,348179,382294,348179 382294,Discharge Point Coordinates,,,,,,,
CO003266753,Caw CSO,110,50331,Unsatisfactory,GBNI8NW022,Burn Dennet and Foyle,245630,418892,245630 418892,Discharge Point Coordinates,,,,,,,
SP002022256,South Street WwPS,38,49884,Unsatisfactory,UKGBNI1NE050504085,Cully's Burn,349135,373635,349135 373635,Discharge Point Coordinates,,,,,,,
CO004357245,Dromore Down FFT CSO,47,49795,Satisfactory,Undefined,Undefined,319382,353320,319382 353320,Coordinates of Asset (Discharge Point Unavailable),,,,,,,
SP002021740,Markethill FEPS,119,49286,Unsatisfactory,UKGBNI1NB030308218,Cusher River (Tandragee),297246,339628,297246 339628,Discharge Point Coordinates,,,,,,,
CO003042687,St Agnes CSO,104,47867,Unsatisfactory,UKGBNI1NE050505126,Blackstaff (Belfast) River,330135,371442,330135 371442,Discharge Point Coordinates,,,,,,,
SP002022100,Ballycolman WwPS,59,46116,Unsatisfactory,UKGBNI1NW010102074,Mourne River,234905,397131,234905 397131,Discharge Point Coordinates,,,,,,,
SP002022831,Ballyrobert Ballyclare WwPS,104,45969,Unsatisfactory,UKGBNI1NB030305205,Lisnalinchey Burn,328225,387642,328225 387642,Discharge Point Coordinates,,,,,,,
CO004356810,Annsborough FA CSO,174,43626,Unsatisfactory,Undefined,Undefined,335508,336730,335508 336730,Coordinates of Asset (Discharge Point Unavailable),,,,,,,
CO003516260,Knockbracken River CSO,112,41944,Unsatisfactory,UKGBNI1NE050503088,Minnowburn,336150,366302,336150 366302,Discharge Point Coordinates,,,,,,,
SP002022276,Craigavad WwPS,47,41939,Unsatisfactory,GBNI8NE024,Belfast Lough,341983,381324,341983 381324,Discharge Point Coordinates,,,,,,,
CO004396818,Clough East FFT CSO,169,40915,Satisfactory,Undefined,Undefined,340728,340529,340728 340529,Coordinates of Asset (Discharge Point Unavailable),,,,,,,
SP002872783,Randalstown TPS,42,40145,Satisfactory,UKGBNI1NB030302150,River Main (Randalstown),308348,390178,308348 390178,Discharge Point Coordinates,,,,,,,
CO004356980,Carrickfergus FFT CSO,15,39934,Unsatisfactory,Undefined,Undefined,343158,388531,343158 388531,Coordinates of Asset (Discharge Point Unavailable),,,,,,,
CO000984062,New Buildings CSO,124,39932,Unsatisfactory,UKGBNI5NW250030,Upper Foyle,241127,412973,241127 412973,Discharge Point Coordinates,,,,,,,
CO000984574,Portrush Road CSO,39,39388,Unsatisfactory,UKGBNI6NB010,Portstewart Bay,282065,438815,282065 438815,Discharge Point Coordinates,,,,,,,
CO004357212,Dungannon FFT CSO,16,37320,Satisfactory,UKGBNI1NB030307025,River Rhone (Moygashel),281286,360301,281286 360301,Discharge Point Coordinates,,,,,,,
CO002849898,Washingbay Road CSO,112,37228,Unsatisfactory,UKGBNI1NB030308222,Torrent River,284410,366484,284410 366484,Discharge Point Coordinates,,,,,,,
CO000984717,Bann View Terrace CSO,174,37084,Satisfactory,UKGBNI1NB030301149,Lower River Bann (Kilrea),297501,404111,297501 404111,Discharge Point Coordinates,,,,,,,
SP002022229,Warren Road One WwPS,95,35875,Unsatisfactory,GBNI8NE026,Belfast Lough,357785,381486,357785 381486,Discharge Point Coordinates,,,,,,,
CO000984322,Parkway CSO,45,35273,Unsatisfactory,GBNI8NE023,Lagan,338308,376105,338308 376105,Discharge Point Coordinates,,,,,,,
CO000984442,The Cornmill CSO,83,35022,Satisfactory,GBNI8NE043,South Down,337748,319858,337748 319858,Discharge Point Coordinates,,,,,,,
CO004357026,Bushmills FFT CSO,28,34967,Unsatisfactory,Undefined,Undefined,293790,441397,293790 441397,Coordinates of Asset (Discharge Point Unavailable),,,,,,,
SP002022102,Bridge Street Magirr 1 WwPS,45,33994,Unsatisfactory,UKGBNI1NW010102074,Mourne River,234289,397688,234289 397688,Discharge Point Coordinates,,,,,,,
CO004448075,Strathfoyle 2 CSO,29,33979,Unsatisfactory,UKGBNI5NW250030,Upper Foyle,246787,421359,246787 421359,Discharge Point Coordinates,,,,,,,
SP002894194,Strathfoyle 2 WwPS,29,33979,Unsatisfactory,UKGBNI5NW250030,Upper Foyle,246787,421359,246787 421359,Discharge Point Coordinates,,,,,,,
CO000984476,Westlink Busway CSO,33,32398,Unsatisfactory,UKGBNI1NE050505126,Blackstaff (Belfast) River,332859,373463,332859 373463,Discharge Point Coordinates,,,,,,,
SP002022254,Scrabo Road WwPS,49,32348,Unsatisfactory,GBNI8NE034,Strangford,347910,373761,347910 373761,Discharge Point Coordinates,,,,,,,
CO000984162,Orchard Street CSO,123,31922,Unsatisfactory,GBNI8NW020,Burn Dennet and Foyle,243790,416760,243790 416760,Discharge Point Coordinates,,,,,,,
CO004356738,Carrickfergus FA CSO,19,31876,Unsatisfactory,Undefined,Undefined,343157,388530,343157 388530,Coordinates of Asset (Discharge Point Unavailable),,,,,,,
CO002966324,Dromore Park CSO,59,31222,Unsatisfactory,UKGBNI1NE050505127,River Lagan (Lisburn),319709,353211,319709 353211,Discharge Point Coordinates,,,,,,,
CO003203325,Greyabbey Works FFT CSO,66,30226,Unsatisfactory,Undefined,Undefined,357650,367791,357650 367791,Coordinates of Asset (Discharge Point Unavailable),,,,,,,
SP002889071,Gransha Park 2 WwPS,65,30004,Unsatisfactory,UKGBNI5NW250030,Upper Foyle,245586,418985,245586 418985,Discharge Point Coordinates,,,,,,,
SP002021786,Salters Grange WwPS,155,29736,Unsatisfactory,UKGBNI1NB030308225,Callan River (Derryscollop),288635,348627,288635 348627,Discharge Point Coordinates,,,,,,,
CO000984347,Loop Bridge Castlereagh CSO,20,28208,Unsatisfactory,UKGBNI1NE050503087,Connswater,336328,372911,336328 372911,Discharge Point Coordinates,,,,,,,
CO000984372,Shore Road York CSO,101,27425,Unsatisfactory,GBNI8NE023,Lagan,334155,377440,334155 377440,Discharge Point Coordinates,,,,,,,
CO004356996,Lisburn FFT CSO,10,27327,Satisfactory,Undefined,Undefined,328319,365461,328319 365461,Coordinates of Asset (Discharge Point Unavailable),,,,,,,
SP002022555,Castlewellan 1 WwPS,54,27315,Unsatisfactory,UKGBNI1NE050505111,Burren River,334049,335285,334049 335285,Discharge Point Coordinates,,,,,,,
CO000984504,Falls Bus Depot CSO,37,26690,Unsatisfactory,UKGBNI1NE050505126,Blackstaff (Belfast) River,330788,372587,330788 372587,Discharge Point Coordinates,,,,,,,
SP002022661,Ballymacvea WwPS,38,26658,Satisfactory,UKGBNI1NB030302014,Kells Water (Kells),312033,397374,312033 397374,Discharge Point Coordinates,,,,,,,
SP002022282,Holywood A WwPS,55,26282,Unsatisfactory,UKGBNI6NE090,Belfast Lough Inner,339426,379229,339426 379229,Discharge Point Coordinates,,,,,,,
CO000984348,Ravenhill Road BP Station CSO,38,25969,Unsatisfactory,UKGBNI5NE100010,Lagan Estuary,334639,373448,334639 373448,Discharge Point Coordinates,,,,,,,
CO000984481,Oldpark Road CSO,26,25212,Unsatisfactory,UKGBNI1NE050505126,Blackstaff (Belfast) River,331580,376799,331580 376799,Discharge Point Coordinates,,,,,,,
CO000984487,Crumlin Road Everton CSO,33,24473,Unsatisfactory,UKGBNI1NE050505126,Blackstaff (Belfast) River,331345,376029,331345 376029,Discharge Point Coordinates,,,,,,,
CO004357005,Kilkeel FFT CSO,22,24284,Satisfactory,Undefined,Undefined,331138,314547,331138 314547,Coordinates of Asset (Discharge Point Unavailable),,,,,,,
CO000984331,Hollywood Road CSO,50,23760,Unsatisfactory,Undefined,Undefined,337381,374884,337381 374884,Coordinates of Asset (Discharge Point Unavailable),,,,,,,
CO002859622,Doagh Station Road CSO,55,23703,Satisfactory,UKGBNI1NB030308215,Doagh River,326103,389191,326103 389191,Discharge Point Coordinates,,,,,,,
SP002022598,Bridge Street Newry WwPS,37,22702,Unsatisfactory,Undefined,Undefined,308333,325857,308333 325857,Coordinates of Asset (Discharge Point Unavailable),,,,,,,
CO000984447,Corick Way Kilkeel CSO,82,22487,Unsatisfactory,UKGBNI6NB020,Mourne Coast,330777,313269,330777 313269,Discharge Point Coordinates,,,,,,,
CO000984793,Portstewart Golf Links CSO,22,21827,Unsatisfactory,UKGBNI6NB010,Portstewart Bay,282298,439244,282298 439244,Discharge Point Coordinates,,,,,,,
CO000984516,Beechmount Avenue Logan CSO,26,21786,Unsatisfactory,UKGBNI1NE050505126,Blackstaff (Belfast) River,331719,373546,331719 373546,Discharge Point Coordinates,,,,,,,
CO000984737,Fairhill Road CSO,164,21542,Unsatisfactory,UKGBNI1NB030308230,Ballinderry River (Cookstown),280712,377583,280712 377583,Discharge Point Coordinates,,,,,,,
CO000984281,Maxwell Road Downshire CSO,68,21162,Satisfactory,UKGBNI6NE080,Belfast Lough Outer,349451,382450,349451 382450,Discharge Point Coordinates,,,,,,,
CO000984165,Foyle Road Craigavon Bridge CSO,78,20971,Unsatisfactory,GBNI8NW020,Burn Dennet and Foyle,243587,416173,243587 416173,Discharge Point Coordinates,,,,,,,
CO004357335,Annahilt Ballycrune  FFT CSO,53,20183,Satisfactory,Undefined,Undefined,330326,356133,330326 356133,Coordinates of Asset (Discharge Point Unavailable),,,,,,,
CO004356975,Saintfield FFT CSO,24,20077,Satisfactory,Undefined,Undefined,341105,359301,341105 359301,Coordinates of Asset (Discharge Point Unavailable),,,,,,,
CO000984365,Hampton Park CSO,171,19472,Unsatisfactory,UKGBNI1NE050503108,River Lagan (Stranmillis),334335,370507,334335 370507,Discharge Point Coordinates,,,,,,,
CO000984733,Castle Road CSO,37,19456,Unsatisfactory,UKGBNI1NB030308230,Ballinderry River (Cookstown),281781,376597,281781 376597,Discharge Point Coordinates,,,,,,,
CO003053198,Mill Street Pound CSO,74,19335,Unsatisfactory,UKGBNI1NE050504085,Cully's Burn,348853,374078,348853 374078,Discharge Point Coordinates,,,,,,,
CO000984343,Holywood Road CSO,60,19310,Unsatisfactory,UKGBNI1NE050503087,Connswater,336579,374388,336579 374388,Discharge Point Coordinates,,,,,,,
CO004357073,Magherafelt FFT CSO,18,19185,Unsatisfactory,Undefined,Undefined,292034,391271,292034 391271,Coordinates of Asset (Discharge Point Unavailable),,,,,,,
CO000984496,Ballysillan Road Glenside CSO,80,18717,Unsatisfactory,UKGBNI1NE050505126,Blackstaff (Belfast) River,330886,376629,330886 376629,Discharge Point Coordinates,,,,,,,
CO000984142,Limavady FFT CSO,23,17883,Satisfactory,UKGBNI1NW020202024,River Roe (Ballycarton),267404,423939,267404 423939,Discharge Point Coordinates,,,,,,,
CO000984120,Ballynorthland Park North CSO,33,17623,Unsatisfactory,UKGBNI1NB030307025,River Rhone (Moygashel),280982,361063,280982 361063,Discharge Point Coordinates,,,,,,,
CO004357203,Culmore FFT CSO,10,17274,Unsatisfactory,UKGBNI5NW250040,Foyle Harbour and Faughan,247804,423115,247804 423115,Discharge Point Coordinates,,,,,,,
CO000984738,Westland Crescent CSO,157,16940,Unsatisfactory,UKGBNI1NB030308230,Ballinderry River (Cookstown),279829,378282,279829 378282,Discharge Point Coordinates,,,,,,,
CO000984355,Church Road Knockbreda CSO,171,16930,Unsatisfactory,UKGBNI1NE050503108,River Lagan (Stranmillis),335028,370472,335028 370472,Discharge Point Coordinates,,,,,,,
CO000984353,Hughes Court CSO,24,16724,Unsatisfactory,GBNI8NE023,Lagan,335569,371669,335569 371669,Discharge Point Coordinates,,,,,,,
SP002022650,Lowtown WwPS,72,16312,Unsatisfactory,UKGBNI1NB030302158,River Main (Cullybackey),305445,405906,305445 405906,Discharge Point Coordinates,,,,,,,
CO002586900,Albert Place CSO,103,16200,Unsatisfactory,UKGBNI1NB030302018,Braid River (Ballymena),310574,403492,310574 403492,Discharge Point Coordinates,,,,,,,
CO000984493,Westway Gardens Lyndhurst CSO,41,16147,Unsatisfactory,UKGBNI1NE050505126,Blackstaff (Belfast) River,330689,375481,330689 375481,Discharge Point Coordinates,,,,,,,
