CARID,Name,Predicted Spill Frequency / Year,Predicted Spill Volume / Year (m3),Storm Overflow Classification,Receiving Waterbody ID,Receiving Waterbody Name,X,Y,XY Coordinates,Coordinate Description,Monitored,2023 Spill Count,2023 Spill Duration (hrs),2024 Spill count,2024 Spill duration (hrs),2024 Percent Availability,Commentary
CO000984072,Tempo Road One CSO,7,377,Unsatisfactory,UKGBNI1NW363602039,Erne River (Enniskillen),224811,344314,224811 344314,Discharge Point Coordinates,,,,,,,
SP002022648,Cullybackey WwPS,1,346,Satisfactory,UKGBNI1NB030302158,River Main (Cullybackey),305880,405125,305880 405125,Discharge Point Coordinates,,,,,,,
SP002022695,Annaghmore Road River WwPS,21,345,Unsatisfactory,Undefined,Undefined,292773,390886,292773 390886,Coordinates of Asset (Discharge Point Unavailable),,,,,,,
CO004405690,Parkmount Terrace CSO,1,344,Unsatisfactory,GBNI8NE002,Belfast Lough,334056,378938,334056 378938,Discharge Point Coordinates,,,,,,,
SP002641421,Drumahoe WwPS,1,343,Satisfactory,UKGBNI1NW020208259,Faughan River (Carnmoney),246147,415053,246147 415053,Discharge Point Coordinates,,,,,,,
CO000984519,Springfield Road Owenvale CSO,1,340,Unsatisfactory,UKGBNI1NE050505126,Blackstaff (Belfast) River,330521,374042,330521 374042,Discharge Point Coordinates,,,,,,,
CO000984307,John Street Police Station CSO,1,339,Unsatisfactory,UKGBNI1NE050504085,Cully's Burn,348840,373916,348840 373916,Discharge Point Coordinates,,,,,,,
CO000984686,The Pentagon CSO,6,339,Satisfactory,UKGBNI1NB030302018,Braid River (Ballymena),310383,403234,310383 403234,Discharge Point Coordinates,,,,,,,
CO000984742,Windsor Crescent CSO,36,332,Unsatisfactory,UKGBNI1NB030308230,Ballinderry River (Cookstown),280527,379189,280527 379189,Discharge Point Coordinates,,,,,,,
CO004356777,Cookstown FA CSO,13,331,Satisfactory,Undefined,Undefined,281571,376689,281571 376689,Coordinates of Asset (Discharge Point Unavailable),,,,,,,
CO002989209,St Marys Killyleagh CSO,25,329,Unsatisfactory,UKGBNI1NE050504009,Dibney River,352494,353235,352494 353235,Discharge Point Coordinates,,,,,,,
CO000984311,Moat Park Upper Newnards Road CSO,1,322,Unsatisfactory,UKGBNI1NE050504080,Enler River (Dundonald),341826,374033,341826 374033,Discharge Point Coordinates,,,,,,,
SP002022873,Craigstown Road WwPS,26,319,Unsatisfactory,UKGBNI1NB030302014,Kells Water (Kells),315920,397204,315920 397204,Discharge Point Coordinates,,,,,,,
SP002022789,Sandyknowes WwPS,1,315,Unsatisfactory,UKGBNI1NB030305206,Ballymartin Water,330698,382972,330698 382972,Discharge Point Coordinates,,,,,,,
SP002022414,Garvaghy Gardens WwPS,43,311,Unsatisfactory,UKGBNI1NB030308110,Ballybay River,300551,354559,300551 354559,Discharge Point Coordinates,,,,,,,
SP002022492,Quoile Brae WwPS,4,311,Satisfactory,GBNI8NE032,Strangford,349488,346304,349488 346304,Discharge Point Coordinates,,,,,,,
CO000984706,Cullybackey Link Road CSO,2,310,Unsatisfactory,UKGBNI1NB030302159,Ahoghill Burn,305092,401690,305092 401690,Discharge Point Coordinates,,,,,,,
CO003074416,Waverley CSO,4,307,Unsatisfactory,UKGBNI1NE050501118,Three Mile Water,332165,384386,332165 384386,Discharge Point Coordinates,,,,,,,
CO003053191,West Street Brewery CSO,1,305,Unsatisfactory,UKGBNI1NE050504085,Cully's Burn,348847,374267,348847 374267,Discharge Point Coordinates,,,,,,,
CO000984746,Station Road CSO,25,305,Unsatisfactory,UKGBNI1NB030304133,Ballymully River (Ratheane),285599,383806,285599 383806,Discharge Point Coordinates,,,,,,,
CO000984146,Roemill Road CSO,3,305,Unsatisfactory,UKGBNI1NW020202018,River Roe (Limavady),266838,422904,266838 422904,Discharge Point Coordinates,,,,,,,
CO004375182,North Street Ballymena CSO,6,299,Unsatisfactory,UKGBNI1NB030302018,Braid River (Ballymena),310548,403077,310548 403077,Discharge Point Coordinates,,,,,,,
CO000984252,Millisle Road CSO,2,296,Unsatisfactory,UKGBNI6NE200,Ards Penninsula,359490,378747,359490 378747,Discharge Point Coordinates,,,,,,,
SP002022360,Saval Beg WwPS,10,294,Unsatisfactory,Undefined,Undefined,311262,329802,311262 329802,Coordinates of Asset (Discharge Point Unavailable),,,,,,,
